time,house,tenant,duration,mean,ci_low,ci_high
250.0,79402 Peterson Drives Apt. 511,Linda,7.0,14.353333333333333,12.9,16.044500000000003
260.0,310 Kendra Common Apt. 164,Patricia,14.0,14.3,12.2,16.2
270.0,33890 Jennifer Squares,James,13.0,14.416666666666666,13.616666666666665,15.216666666666665
280.0,55940 Herrera Lane Apt. 849,Susan,24.0,11.93,8.219,14.77
270.0,79402 Peterson Drives Apt. 511,Lisa,12.0,14.416666666666666,13.616666666666665,15.216666666666665
280.0,310 Kendra Common Apt. 164,Amy,14.0,11.93,8.219,14.77
280.0,33890 Jennifer Squares,Matthew,15.0,11.93,8.219,14.77
290.0,79402 Peterson Drives Apt. 511,Linda,18.0,14.186666666666667,12.253333333333334,16.119999999999997
280.0,43321 Brittany Bypass,James,10.0,11.93,8.219,14.77
280.0,310 Kendra Common Apt. 164,Jeffrey,6.0,11.93,8.219,14.77
290.0,55940 Herrera Lane Apt. 849,Helen,9.0,14.186666666666667,12.253333333333334,16.119999999999997
290.0,43321 Brittany Bypass,James,10.0,14.186666666666667,12.253333333333334,16.119999999999997
300.0,33890 Jennifer Squares,Cassandra,18.0,13.48333333333333,11.55,14.666666666666666
300.0,310 Kendra Common Apt. 164,Jeffrey,13.0,13.48333333333333,11.55,14.666666666666666
300.0,55940 Herrera Lane Apt. 849,Amy,13.0,13.48333333333333,11.55,14.666666666666666
310.0,79402 Peterson Drives Apt. 511,Patricia,15.0,14.183333333333332,12.333333333333332,16.05
310.0,43321 Brittany Bypass,Matthew,21.0,14.183333333333332,12.333333333333332,16.05
310.0,310 Kendra Common Apt. 164,James,8.0,14.183333333333332,12.333333333333332,16.05
320.0,33890 Jennifer Squares,Melanie,13.0,12.233333333333333,10.266666666666666,14.283333333333331
310.0,55940 Herrera Lane Apt. 849,Lisa,8.0,14.183333333333332,12.333333333333332,16.05
320.0,79402 Peterson Drives Apt. 511,Jeffrey,13.0,12.233333333333333,10.266666666666666,14.283333333333331
320.0,310 Kendra Common Apt. 164,Cassandra,7.0,12.233333333333333,10.266666666666666,14.283333333333331
320.0,55940 Herrera Lane Apt. 849,Amy,9.0,12.233333333333333,10.266666666666666,14.283333333333331
330.0,43321 Brittany Bypass,James,12.0,13.633333333333335,11.133333333333333,16.43333333333333
330.0,33890 Jennifer Squares,Linda,10.0,13.633333333333335,11.133333333333333,16.43333333333333
340.0,310 Kendra Common Apt. 164,Cassandra,21.0,13.113333333333333,11.239999999999998,14.6
340.0,79402 Peterson Drives Apt. 511,Susan,15.0,13.113333333333333,11.239999999999998,14.6
340.0,55940 Herrera Lane Apt. 849,Jeffrey,10.0,13.113333333333333,11.239999999999998,14.6
350.0,43321 Brittany Bypass,Amy,21.0,15.683333333333334,14.5,16.919166666666666
340.0,33890 Jennifer Squares,James,12.0,13.113333333333333,11.239999999999998,14.6
350.0,55940 Herrera Lane Apt. 849,Matthew,13.0,15.683333333333334,14.5,16.919166666666666
350.0,79402 Peterson Drives Apt. 511,Linda,12.0,15.683333333333334,14.5,16.919166666666666
350.0,310 Kendra Common Apt. 164,Jeffrey,11.0,15.683333333333334,14.5,16.919166666666666
360.0,33890 Jennifer Squares,Patricia,17.0,12.450000000000001,10.286000000000001,14.301999999999998
370.0,43321 Brittany Bypass,James,15.0,12.233333333333333,9.4,15.066666666666666
360.0,55940 Herrera Lane Apt. 849,Cassandra,8.0,12.450000000000001,10.286000000000001,14.301999999999998
370.0,79402 Peterson Drives Apt. 511,Melanie,16.0,12.233333333333333,9.4,15.066666666666666
360.0,310 Kendra Common Apt. 164,Nicholas,7.0,12.450000000000001,10.286000000000001,14.301999999999998
370.0,55940 Herrera Lane Apt. 849,Jeffrey,7.0,12.233333333333333,9.4,15.066666666666666
380.0,310 Kendra Common Apt. 164,Cassandra,20.0,14.033333333333335,12.6,15.466666666666665
380.0,33890 Jennifer Squares,Lisa,13.0,14.033333333333335,12.6,15.466666666666665
380.0,43321 Brittany Bypass,Amy,11.0,14.033333333333335,12.6,15.466666666666665
380.0,55940 Herrera Lane Apt. 849,Matthew,14.0,14.033333333333335,12.6,15.466666666666665
380.0,79402 Peterson Drives Apt. 511,Jeffrey,7.0,14.033333333333335,12.6,15.466666666666665
380.0,33890 Jennifer Squares,Michelle,6.0,14.033333333333335,12.6,15.466666666666665
390.0,79402 Peterson Drives Apt. 511,Linda,9.0,12.433333333333334,9.1,15.333333333333332
390.0,43321 Brittany Bypass,James,13.0,12.433333333333334,9.1,15.333333333333332
400.0,310 Kendra Common Apt. 164,Jeffrey,22.0,14.6,13.0,16.554999999999993
390.0,33890 Jennifer Squares,Nicholas,9.0,12.433333333333334,9.1,15.333333333333332
400.0,55940 Herrera Lane Apt. 849,Susan,18.0,14.6,13.0,16.554999999999993
400.0,79402 Peterson Drives Apt. 511,Amy,11.0,14.6,13.0,16.554999999999993
400.0,33890 Jennifer Squares,Cassandra,11.0,14.6,13.0,16.554999999999993
400.0,43321 Brittany Bypass,Michelle,8.0,14.6,13.0,16.554999999999993
410.0,79402 Peterson Drives Apt. 511,Patricia,9.0,13.8,11.27375,15.988749999999987
410.0,55940 Herrera Lane Apt. 849,James,10.0,13.8,11.27375,15.988749999999987
420.0,310 Kendra Common Apt. 164,Linda,10.0,15.166666666666666,12.866666666666665,18.250833333333333
420.0,43321 Brittany Bypass,Matthew,19.0,15.166666666666666,12.866666666666665,18.250833333333333
430.0,33890 Jennifer Squares,Cassandra,20.0,14.4,12.2,15.73333333333333
420.0,79402 Peterson Drives Apt. 511,Melanie,13.0,15.166666666666666,12.866666666666665,18.250833333333333
420.0,55940 Herrera Lane Apt. 849,Amy,8.0,15.166666666666666,12.866666666666665,18.250833333333333
430.0,310 Kendra Common Apt. 164,Jeffrey,17.0,14.4,12.2,15.73333333333333
440.0,55940 Herrera Lane Apt. 849,James,18.0,14.866666666666669,11.974583333333333,18.85
430.0,79402 Peterson Drives Apt. 511,Nicholas,9.0,14.4,12.2,15.73333333333333
440.0,43321 Brittany Bypass,Michelle,13.0,14.866666666666669,11.974583333333333,18.85
450.0,33890 Jennifer Squares,Lisa,21.0,16.066666666666666,14.666666666666666,17.934999999999995
450.0,310 Kendra Common Apt. 164,Amy,16.0,16.066666666666666,14.666666666666666,17.934999999999995
440.0,79402 Peterson Drives Apt. 511,Linda,6.0,14.866666666666669,11.974583333333333,18.85
460.0,43321 Brittany Bypass,Cassandra,17.0,14.66,12.44,16.7
460.0,79402 Peterson Drives Apt. 511,Patricia,15.0,14.66,12.44,16.7
450.0,55940 Herrera Lane Apt. 849,Jeffrey,8.0,16.066666666666666,14.666666666666666,17.934999999999995
460.0,33890 Jennifer Squares,Craig,12.0,14.66,12.44,16.7
460.0,310 Kendra Common Apt. 164,Linda,7.0,14.66,12.44,16.7
470.0,55940 Herrera Lane Apt. 849,James,17.0,15.15,11.67375,18.35
460.0,43321 Brittany Bypass,Jeffrey,6.0,14.66,12.44,16.7
470.0,79402 Peterson Drives Apt. 511,Susan,13.0,15.15,11.67375,18.35
480.0,310 Kendra Common Apt. 164,Cassandra,16.0,12.166666666666666,10.799999999999999,13.7
480.0,43321 Brittany Bypass,Nicholas,14.0,12.166666666666666,10.799999999999999,13.7
490.0,33890 Jennifer Squares,Amy,22.0,15.25,13.5,17.0
490.0,79402 Peterson Drives Apt. 511,Jeffrey,20.0,15.25,13.5,17.0
490.0,55940 Herrera Lane Apt. 849,Michelle,13.0,15.25,13.5,17.0
490.0,310 Kendra Common Apt. 164,Linda,11.0,15.25,13.5,17.0
500.0,43321 Brittany Bypass,James,16.0,14.333333333333332,12.0,16.666666666666664
500.0,55940 Herrera Lane Apt. 849,Craig,7.0,14.333333333333332,12.0,16.666666666666664
40.0,3287 Katelyn Wall Apt. 226,Chelsea,19.0,15.8,11.9,20.119999999999983
50.0,525 Clark Grove Apt. 928,George,24.0,13.25,8.0,18.5
50.0,05641 Robin Port,Sharon,13.0,13.25,8.0,18.5
60.0,3287 Katelyn Wall Apt. 226,Jessica,16.0,15.0,13.2,16.2
70.0,76483 Cameron Trail,Chelsea,24.0,12.2,10.866666666666665,13.833333333333332
60.0,76724 John Points Suite 969,Noah,8.0,15.0,13.2,16.2
60.0,05641 Robin Port,Deborah,12.0,15.0,13.2,16.2
70.0,525 Clark Grove Apt. 928,George,11.0,12.2,10.866666666666665,13.833333333333332
70.0,76724 John Points Suite 969,Frank,10.0,12.2,10.866666666666665,13.833333333333332
70.0,3287 Katelyn Wall Apt. 226,Noah,9.0,12.2,10.866666666666665,13.833333333333332
80.0,05641 Robin Port,Jessica,13.0,15.26666666666667,10.933333333333334,19.6
70.0,525 Clark Grove Apt. 928,George,6.0,12.2,10.866666666666665,13.833333333333332
90.0,76483 Cameron Trail,Chelsea,20.0,15.366666666666669,12.315833333333334,19.287499999999998
90.0,525 Clark Grove Apt. 928,George,15.0,15.366666666666669,12.315833333333334,19.287499999999998
80.0,76724 John Points Suite 969,Sharon,8.0,15.26666666666667,10.933333333333334,19.6
100.0,3287 Katelyn Wall Apt. 226,Danielle,24.0,16.95,14.42125,19.42625
90.0,05641 Robin Port,Frank,10.0,15.366666666666669,12.315833333333334,19.287499999999998
110.0,76724 John Points Suite 969,Noah,23.0,15.466666666666665,12.333333333333334,18.27
100.0,525 Clark Grove Apt. 928,Angela,7.0,16.95,14.42125,19.42625
100.0,05641 Robin Port,George,11.0,16.95,14.42125,19.42625
100.0,76483 Cameron Trail,Chelsea,13.0,16.95,14.42125,19.42625
110.0,525 Clark Grove Apt. 928,Angela,15.0,15.466666666666665,12.333333333333334,18.27
120.0,3287 Katelyn Wall Apt. 226,Danielle,18.0,13.516666666666666,10.3,17.15
110.0,05641 Robin Port,Megan,11.0,15.466666666666665,12.333333333333334,18.27
120.0,76483 Cameron Trail,Sharon,15.0,13.516666666666666,10.3,17.15
130.0,76724 John Points Suite 969,George,21.0,13.663333333333332,12.129583333333333,15.816666666666666
130.0,525 Clark Grove Apt. 928,Angela,13.0,13.663333333333332,12.129583333333333,15.816666666666666
120.0,05641 Robin Port,Chelsea,6.0,13.516666666666666,10.3,17.15
130.0,3287 Katelyn Wall Apt. 226,Megan,7.0,13.663333333333332,12.129583333333333,15.816666666666666
130.0,76483 Cameron Trail,Danielle,7.0,13.663333333333332,12.129583333333333,15.816666666666666
130.0,05641 Robin Port,Jeremy,9.0,13.663333333333332,12.129583333333333,15.816666666666666
150.0,525 Clark Grove Apt. 928,Angela,20.0,14.15,10.95,17.0525
140.0,3287 Katelyn Wall Apt. 226,Chelsea,9.0,13.5,11.6,15.552499999999997
150.0,76724 John Points Suite 969,Kimberly,24.0,14.15,10.95,17.0525
150.0,76483 Cameron Trail,Danielle,17.0,14.15,10.95,17.0525
